,0
65,"{'word': 'use for bottom', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'word': 'bottom for condition', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'word': 'day of use', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'word': 'thanks for installation', 'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}"
69,"{'word': 'worth of', 'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}"
70,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
71,"{'word': 'difficulty of bed during installation', 'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}"
72,zero
73,"{'word': 'bed for price', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'word': 'pay to tip', 'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
75,"{'word': 'good product from flipkart', 'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
76,"{'word': 'delivery on time', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
78,"{'word': 'home for arrangement', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
79,zero
80,"{'word': 'idea about quality', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'word': 'thickness of plywood', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'word': 'light weight and breakable', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,"{'word': 'design of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'word': 'cart for products', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,zero
86,"{'word': 'board for selves', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,"{'word': 'okay in budget', 'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}"
88,"{'word': 'attention to', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,zero
90,zero
91,"{'word': 'days for', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
92,"{'word': 'star for product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,"{'word': 'home on time', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,"{'word': 'purpose of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,"{'word': 'storage on low cost', 'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.2732}"
96,zero
97,zero
98,"{'word': 'product by section', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,"{'word': 'behave from guy', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,"{'word': 'delivery date, price range', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,"{'word': 'delivery with product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,"{'word': 'patches on', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,zero
104,"{'word': 'delivery from technician', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
105,"{'word': 'work by flipkart', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
106,"{'word': 'quality of product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
107,zero
108,zero
109,"{'word': 'buy for', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,"{'word': 'singles for buy', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,"{'word': 'buy at size', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
112,"{'word': 'buy at', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
113,"{'word': 'calculations for product', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
114,"{'word': 'awesome mattresses ', 'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}"
115,zero
116,zero
117,zero
118,zero
119,"{'word': 'delivery in date', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
120,"{'word': 'part of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
121,"{'word': 'size of boards', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
122,"{'word': 'height in pic', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
123,"{'word': 'wastage of money.and', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
124,zero
125,zero
126,zero
127,"{'word': 'idea about durability', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
128,zero
129,zero
130,zero
131,zero
132,zero
133,zero
134,zero
135,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
136,zero
137,"{'word': 'place in', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
138,"{'word': 'months of use', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
139,zero
140,"{'word': 'replacement for purpose', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
141,zero
142,zero
143,"{'word': 'edges of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
144,"{'word': 'fix on day', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
145,"{'word': 'durability of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
146,"{'word': 'question.value for money', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
147,"{'word': 'wastage of wood', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
148,zero
149,zero
150,zero
151,zero
152,zero
153,zero
154,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
155,"{'word': 'delay for installation', 'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}"
156,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
157,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
158,"{'word': 'product in price', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
159,zero
160,"{'word': 'product in tag', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
161,"{'word': 'value for money', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
162,"{'word': 'parts of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
163,"{'word': 'request of replacement', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
164,"{'word': 'waste of flipkart', 'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}"
165,zero
166,"{'word': 'product from flip', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
167,zero
168,zero
169,"{'word': 'lots of scratches', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
170,"{'word': 'scratches on products', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
171,"{'word': 'unhappy', 'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}"
172,zero
173,zero
174,zero
175,zero
176,zero
177,zero
178,zero
179,zero
180,"{'word': 'lot of time for calls to flipkart', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
181,"{'word': 'mattress with bed.overall', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
182,"{'word': 'type of beds', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
183,"{'word': 'beds for durability', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
184,"{'word': 'waste of money', 'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}"
185,"{'word': 'done after a week ', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
186,"{'word': 'return for mattress', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
187,zero
188,zero
189,zero
190,"{'word': 'instructions on how to handle', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
191,zero
192,"{'word': 'bed with lot', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
193,"{'word': 'lot of storage', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
194,"{'word': 'mattresses with lot', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
195,"{'word': 'lot of stuffs.headboard', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
196,"{'word': 'day of installation', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
197,zero
198,"{'word': 'inch of bed', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
199,zero
200,zero
201,"{'word': 'bottoms of unit', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
202,zero
203,zero
204,zero
205,zero
206,zero
207,"{'word': 'choice for couples', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
208,zero
209,"{'word': 'value of size', 'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}"
210,zero
211,zero
212,zero
213,zero
214,"{'word': 'recommend for students', 'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}"
215,zero
216,"{'word': 'product for mother', 'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
217,"{'word': 'complaints on process', 'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.4019}"
218,"{'word': 'problems for', 'neg': 0.73, 'neu': 0.27, 'pos': 0.0, 'compound': -0.4019}"
